en,de,domain
"For the purposes of the registration of contracts provided for in Article 1, in addition to producing the latter the contracting party established in the Community must at the same time provide the body referred to in Article 4 with at least the following particulars:",Für die in Artikel 1 vorgesehene Registrierung der Verträge muß die in der Gemeinschaft ansässige Vertragspartei der in Artikel 4 genannten Stelle die betreffenden Verträge vorlegen und ausserdem mindestens folgende Angaben machen:,law
"This item shall comprise all dividends and other income from variable-yield securities, from participating interests and from shares in affiliated undertakings.","Hier sind alle Dividenden und Erträge aus nicht festverzinslichen Wertpapieren, aus Beteiligungen sowie aus Anteilen an verbundenen Unternehmen auszuweisen.",law
1. The indication of the fat content as provided for in Article 3 (1) (b) of Regulation (EC) No 2991/94 shall comply with the following rules:,(1) Die Angabe des Fettgehalts gemäß Artikel 3 Absatz 1 Buchstabe b) der Verordnung (EG) Nr. 2991/94 muß folgende Voraussetzungen erfuellen:,law
The updating of Annex II lies with the International Commission.,Die Aktualisierung der Anlage II obliegt der Internationalen Kommission.,law
(18) The GOI and nine exporting producers further argue that the Commission should have examined whether there was in fact an excess drawback of import charges on inputs consumed in the production process.,"(18) Die IR und neun ausführende Hersteller machten ferner geltend, die Kommission hätte prüfen müssen, ob es tatsächlich zu einer übermäßigen Rückerstattung von Einfuhrabgaben auf die bei der Herstellung verbrauchten Vorleistungen kam.",law
"The latter may apply in particular in case farmers are authorized to use, on their own holding, seed potatoes which they have obtained from their own harvest and in other cases that own-produced seed potatoes are planted.","Diese Vorschrift könnte insbesondere in Fällen Anwendung finden, bei denen Erzeuger in ihrem eigenen Betrieb Pflanzkartoffeln aus eigenem Anbau verwenden dürfen, sowie in anderen Fällen, in denen selbsterzeugte Pflanzkartoffeln angebaut werden.",law
"Whereas, in order to achieve the aims hereinbefore mentioned of keeping a check on work and rest periods, it is necessary that employers and drivers be responsible for seeing that the equipment functions correctly and that they perform with due care the operations prescribed;","Um die Ziele der obengenannten Kontrolle der Arbeits- und Ruhezeiten verwirklichen zu können, müssen die Arbeitgeber und die Fahrer angehalten werden, die einwandfreie Arbeitsweise des Geräts zu überwachen und die nach der Regelung erforderlichen Maßnahmen sorgfältig duchzuführen.",law
"(f) Paralomis spp. (order Decapoda, sub-order Reptantia) in FAO statistical subarea 48.3, other than that fished during the first phase of the CCAMLR exploratory fishery scheme for that species and subarea.","f) Paralomis spp. (Ordnung Decapoda, Unterordnung Reptantia) im statistischen FAO-Untergebiet 48.3, außer in der ersten Phase der CCAMLR-Regelung für Versuchsfischerei auf diese Art in diesem Untergebiet.",law
"Differences in the near term are due to revised assumptions about GDP growth as well as to the effects of recent policy measures, including the March 2004 fiscal package, which frontloaded the tax reform adopted in 2003.","Unterschiede für die nahe Zukunft sind auf korrigierte BIP-Wachstumsannahmen und auf die Auswirkungen neuerer politischer Maßnahmen zurückzuführen, wie das Steuerpaket vom März 2004, das den Auftakt zur 2003 verabschiedeten Steuerreform darstellte.",law
"national flag, shall be phased out at the latest in accordance with the following timetable:","Schiffen der eigenen Flagge vorbehalten sind, spätestens gemäß folgendem Zeitplan beendet:",law
"167000 _BAR_ 160000 _BAR_ 159993,91 _BAR_","167000 _BAR_ 160000 _BAR_ 159993,91 _BAR_",law
"Whereas, according to the scope and effects of the proposed action, the Community measures envisaged by this Directive are not only necessary but also indispensable for the attainment of the stated objectives; whereas these objectives cannot be achieved by Member States individually and whereas, furthermore, their attainment at Community level is already provided for by Directive 76/769/EEC, HAVE ADOPTED THIS DIRECTIVE:","Die in dieser Richtlinie vorgesehenen Gemeinschaftsmaßnahmen sind in Anbetracht des Geltungsbereichs und der Auswirkungen der vorgeschlagenen Aktion für die Erreichung der genannten Ziele nicht nur notwendig, sondern unabdingbar. Diese Ziele können die Mitgliedstaaten nicht einzeln erreichen; im übrigen ist bereits in der Richtlinie 76/769/EWG vorgesehen, daß sie auf Gemeinschaftsebene zu verwirklichen sind - HABEN FOLGENDE RICHTLINIE ERLASSEN:",law
The additional flat-rate for the formation of organizations of nut and/or locust bean producters provided for in Article 14b of Regulation (EEC) No 1035/72 is hereby fixed as follows:,Die zusätzliche Pauschalbeihilfe für die Gründung von Erzeugerorganisationen für Schalenfrüchte und/oder Johannisbrot gemäß Artikel 14b der Verordnung (EWG) Nr. 1035/72 für die einzelnen von der Erzeugerorganisation während des ersten Wirtschaftsjahres vermarkteten Mengen an Schalenfrüchten und/oder Johannisbrot wird wie folgt festgesetzt:,law
"2. In restricted procedures and in negotiated procedures with a prior call for competition, the following arrangements shall apply:",(2) Bei nicht offenen Verfahren und Verhandlungsverfahren mit vorherigem Aufruf zum Wettbewerb gilt folgende Regelung:,law
"Where the requested authority is unable to respond to the request by the deadline, it shall inform the requesting authority in writing forthwith of the reasons for its failure to do so, and when it considers it would be likely to be able to respond.","Ist die ersuchte Behörde nicht in der Lage, auf ein Ersuchen fristgerecht zu antworten, so teilt sie der ersuchenden Behörde unverzüglich schriftlich mit, welche Gründe einer fristgerechten Antwort entgegenstehen und wann sie dem Ersuchen ihres Erachtens wahrscheinlich nachkommen kann.",law
Whereas in Regulation (EEC) No 2343/90 the Council confirmed that cabotage traffic rights are an integral part of the internal market;,"Der Rat hat in der Verordnung (EWG) Nr. 2343/90 ferner bekräftigt, daß Kabotagerechte fester Bestandteil des Binnenmarkts sind.",law
FOR THE BENEFIT OF HANDICAPPED PERSONS,ZUGUNSTEN BEHINDERTER,law
"(1) Directive 96/49/EC(4) lays down transitional provisions which remained valid until 1 January 1999, to allow the completion of some standardisation work by the European Committee for Standardisation (CEN) on receptacles and tanks; that work has not yet been completed.",(1) Die Richtlinie 96/49/EG(4) enthält bis zum 1. Januar 1999 geltende Übergangsbestimmungen; hierdurch sollte der Abschluss bestimmter Normungsarbeiten für Behälter und Tanks durch das Europäische Komitee für Normung (CEN) ermöglicht werden. Diese Arbeiten sind noch nicht abgeschlossen.,law
Council Directive 2003/38/EC,Richtlinie 2003/38/EG des Rates,law
(a) a component representing the quantity of milk product;,a) ein Element zur Berücksichtigung der in dem Enderzeugnis enthaltenen Milcherzeugnisse;,law
A common catalogue of varieties of agricultural plant species is therefore provided for in Council Directive 2002/53/EC(4).,Daher wird durch die Richtlinie 2002/53/EG des Rates(4) ein Gemeinsamer Sortenkatalog für landwirtschaftliche Pflanzenarten vorgesehen.,law
It would not therefore be appropriate to make a detailed rebuttal.,"Es wäre daher nicht angebracht, detaillierte Gegenargumente anzuführen.",law
The appointee shall not take up the business of direct insurance on behalf of the said undertaking .,Der Vertreter darf keine Direktversicherungsgeschäfte für das genannte Unternehmen betreiben .,law
Commission Regulation (EC) No 1702/2003,Verordnung (EG) Nr. 1702/2003 der Kommission,law
"An example of a fair, simple and transparent alternative for these charge attribution criteria could be a turnover related distribution key.","Ein Beispiel einer fairen, einfachen und transparenten Option für diese Kriterien zur Auferlegung von Abgaben könnte ein am Umsatz orientierter Verteilungsschlüssel sein.",law
3. Biocidal products shall be labelled in accordance with the provisions relating to labelling in Directive 88/379/EEC.,(3) Biozid-Produkte sind gemäß den einschlägigen Bestimmungen der Richtlinie 88/379/EWG zu kennzeichnen.,law
"(b) the animals may, after dispatch from the Member State of origin, transit through one additional assembly centre before being consigned to the slaughterhouse in the Member State of destination under the following conditions:","b) die Tiere können nach ihrem Abtransport aus dem Herkunftsmitgliedstaat eine zusätzliche Sammelstelle passieren, bevor sie unter folgenden Bedingungen zum Schlachthof im Bestimmungsmitgliedstaat befördert werden:",law
"Whereas Commission Regulation (EC) No 1423/95 of 23 June 1995 laying down detailed implementing rules for the import of products in the sugar sector other than molasses (3) lays down in particular the method to be used to determine the sucrose content and the dry matter content used for the application of import duties; whereas, in order to clarify the wording of the provisions in question, mention should be made of the products to which the method applies; whereas provision should also be made to specify that conversion into sucrose equivalent of the duties applicable to inulin syrups should be by application of the coefficient 1,9 used both to fix the production levies and export refunds and to fix, before 1 July 1995, the import levies;","in Erwägung nachstehender Gründe: Die Verordnung (EG) Nr. 1423/95 der Kommission vom 23. Juni 1995 (3) regelt, wie der für die Anwendung der Einfuhrabgaben maßgebliche Saccharosegehalt und Trockensubstanzgehalt zu bestimmen sind. Damit die geltenden Bestimmungen besser verständlich sind, sollten die Erzeugnisse festgelegt werden, deren Saccharosegehalt zu berücksichtigen ist. Außerdem muß vorgesehen werden, daß bei der Umrechnung der auf Inulinsirup zu erhebenden Abgaben in Saccharoseäquivalent der Koeffizient 1,9 anzuwenden ist, und zwar sowohl für die Festsetzung der Erzeugungsabgaben und Ausfuhrerstattungen als auch, bis 1. Juli 1995, der Einfuhrabschöpfungen.",law
"(10) A simplified procedure should be laid down to divide the individual reference quantities between deliveries and direct sales, with an obligation to provide the Commission with the necessary information to make that allocation and to calculate the levy.",(10) Es sollte ein vereinfachtes Verfahren für die Aufteilung der einzelbetrieblichen Referenzmengen auf solche für Lieferungen und solche für Direktverkäufe sowie die Übermittlung der für diese Aufteilung und für die Berechnung der Abgabe erforderlichen Daten an die Kommission vorgesehen werden.,law
Commission Regulation (EC) No 828/2003,Verordnung (EG) Nr. 828/2003 der Kommission,law
"Where the amount of 'Other loans` not secured by policies is material, an appropriate breakdown shall be given in the notes on the accounts.","Wenn die nicht durch einen Versicherungsvertrag gesicherten ""Sonstigen Ausleihungen"" einen grösseren Umfang haben, ist im Anhang eine genaue Aufgliederung vorzunehmen.",law
"This report shall be accompanied by proposals, if any, on which the Council shall take a decision in accordance with the provisions of the Treaty.","Dieser Bericht enthält gegebenenfalls Vorschläge, über die der Rat nach den Bestimmungen des Vertrags entscheidet.",law
(d) highly flammable substances and preparations:,d) leicht entzuendlich:,law
The issuer shall not be subject to any obligation to provide information required under paragraph 3 directly to any regulated market which has admitted the issuer's securities to trading without its consent.,"Der Emittent ist nicht verpflichtet, die Angaben gemäß Absatz 3 dem geregelten Markt, der seine Wertpapiere ohne seine Zustimmung zum Handel zugelassen hat, direkt zu übermitteln.",law
"(5) The use of the product, clinoptilolite of volcanic origin, as feed additive belonging to the category of ""binders, anti-caking agents and coagulants"", was provisionally authorised, for the first time, for pigs, rabbits and poultry by Commission Regulation (EC) No 1245/1999 [3].","(5) Die Verwendung von Klinoptilolith vulkanischen Ursprungs als zur Kategorie der ""Bindemittel, Fließhilfsstoffe und Gerinnungshilfsstoffe"" gehörender Zusatzstoff wurde durch die Verordnung (EG) Nr. 1245/1999 der Kommission [3] erstmals für Schweine, Kaninchen und Geflügel vorläufig zugelassen.",law
"(a) the decision to introduce vaccination as a supplement to control measures shall be taken by the Commission, in cooperation with the Member State concerned, under the procedure laid down in Article 26;","a) Der Beschluß, die Impfung ergänzend zu den Bekämpfungsmaßnahmen durchzuführen, wird von der Kommission in Zusammenarbeit mit dem betroffenen Mitgliedstaat gemäß dem Verfahren des Artikels 26 gefasst.",law
"D— AVAILABLE BALANCE(A-B1) _BAR_ 2919,2 _BAR_ 8,9 % _BAR_ _BAR_ _BAR_ _BAR_ _BAR_ _BAR_ 0,0 _BAR_ 0,0 _BAR_ 0,0 _BAR_ 11970,7 _BAR_ 11970,7 _BAR_ 26,2% _BAR_","D— Verfügbare Mittel (A-B1) _BAR_ 2919,2 _BAR_ 8,9 % _BAR_ _BAR_ _BAR_ _BAR_ _BAR_ _BAR_ 0,0 _BAR_ 0,0 _BAR_ 0,0 _BAR_ 11970,7 _BAR_ 11970,7 _BAR_ 26,2 % _BAR_",law
"2. Without prejudice to Article 4, for each Member State that decides to grant aid for fleet renewal after 31 December 2002 the reference levels in power at 1 January 2005 (R(kW)05) shall be equal to or less than 97 % of the reference level at 1 January 2003 for that Member State set out in Annex I.","(2) Unbeschadet der Bestimmungen des Artikels 4 betragen für Mitgliedstaaten, die nach dem 31. Dezember 2002 die Gewährung von Zuschüssen zur Flottenerneuerung beschließen, die Referenzgrößen in Maschinenleistung am 1. Januar 2005 (R(kW)05) 97 % oder weniger der für diesen Mitgliedstaat in Anhang I aufgeführten Referenzgröße am 1. Januar 2003.",law
(c) they are expected to be settled by delivery of the commodity.,c) gelten mit der Lieferung der Ware als abgegolten.,law
COMMISSION REGULATION (EC) No 2107/1999,VERORDNUNG (EG) Nr. 2107/1999 DER KOMMISSION,law
"Whereas the Act of Accession of Spain and Portugal adopted, for certain directives concerning the approximation of the laws of the Member States relating to industrial products, the distinctive letters 'GR' for the Hellenic Republic;",in Erwägung nachstehender Gründe: Die Akte über den Beitritt Spaniens und Portugals hat für bestimmte Richtlinien zur Angleichung der Rechtsvorschriften der Mitgliedstaaten über Industrieerzeugnisse das Abkürzungszeichen GR für die Griechische Republik festgesetzt.,law
"it must have been collected, processed, stored and transported in accordance with Annexes A and C.","Er muß gemäß den Anhängen A und C entnommen, aufbereitet, aufbewahrt und befördert worden sein.",law
5. The interest shall be calculated in conformity with the provisions laid down in Commission Regulation (EC) No 794/2004 [22].,(5) Die Zinsen werden gemäß den Bestimmungen der Artikel 9 bis 11 der Verordnung (EG) Nr. 794/2004 der Kommission [22] berechnet.,law
"2. Where Article 15(4) applies, the actions referred to in paragraph 1 of this Article shall not take place in respect of those designs contained in the multiple registration which are deemed from the outset not to have had the effects specified in Regulation (EC) No 6/2002.","(2) Im Falle von Artikel 15 Absatz 4 werden die in Absatz 1 des vorliegenden Artikels genannten Maßnahmen nur für die Geschmacksmuster einer Sammeleintragung ergriffen, die nicht so behandelt werden, als hätten sie die in der Verordnung (EG) Nr. 6/2002 festgelegten Wirkungen von Anfang an nicht gehabt.",law
"In order to facilitate control of residues of pesticides, a default value is to be set for pesticide residues present in products or groups of products covered by Annex I for which no MRLs have been established in Annexes II or III, unless the active substance in question is listed in Annex IV.","Zur besseren Kontrolle von Pestizidrückständen muss für die in Anhang I aufgeführten Erzeugnisse oder Gruppen von Erzeugnissen, für die in den Anhängen II oder III keine Rückstandshöchstgehalte festgesetzt wurden, ein Standard-RHG festgesetzt werden, es sei denn, dass der betreffende Wirkstoff in Anhang IV aufgeführt ist.",law
"- ""non-agricultural component"" shall mean the part of the charge corresponding to the Common Customs Tariff duties, reduced by the agricultural component defined in the first indent,","- ist 'nichtlandwirtschaftlicher Teilbetrag' der Teil der Abgabe, der den Zollsätzen des Gemeinsamen Zolltarifs abzüglich des Agrarteilbetrags entspricht;",law
"- between the point where the goods are loaded and the nearest suitable rail loading station for the initial leg, and between the nearest suitable rail unloading station and the point where the goods are unloaded for the final leg, or","- Hierbei umfasst die Zu- oder Ablaufstrecke die Strecke von dem Punkt, an dem die Güter geladen werden, zum nächsten Verladebahnhof für die Zulaufstrecke und vom nächsten geeigneten Verladebahnhof zu dem Punkt, an dem die Güter abgeladen werden, für die Ablaufstrecke oder",law
The eligible costs as well as the maximum Community financial contribution for the trials and tests for 2004 shall be as set out in the Annex.,Die zuschussfähigen Kosten dieser Prüfungen und Tests für das Jahr 2004 sowie die maximale Gemeinschaftsbeteiligung sind im Anhang festgesetzt.,law
(b) be accompanied when leaving Sardinia by the intra trade certificate laid down by Regulation (EC) No 599/2004 completed with the specific sanitary requirement set out in Annex IV to this Decision.,"b) Sendungen aus Sardinien führen die Bescheinigung für den innergemeinschaftlichen Handel gemäß der Verordnung (EG) Nr. 599/2004 der Kommission mit, in der die spezifischen Gesundheitsanforderungen gemäß Anhang IV dieser Entscheidung angegeben sind.",law
The Annex to Regulation (Euratom) No 3954/87 is hereby replaced by the Annex hereto.,Der Anhang der Verordnung (Euratom) Nr. 3954/87 wird durch den Anhang zur vorliegenden Verordnung ersetzt.,law
Forces and personnel seconded to the operation by New Zealand shall carry out their duties and conduct themselves solely with the interest of the EU military crisis management operation in mind.,(4) Die von Neuseeland für die Operation abgeordneten Einsatzkräfte und Personalmitglieder lassen sich bei der Erfüllung ihrer Aufgaben und in ihrem Verhalten ausschließlich von den Interessen der militärischen Krisenbewältigungsoperation der EU leiten.,law
Italy: anatomia patologica,Italien: anatomia patologica,law
of destination shall inform the Commission and the competent authorities of the other Member States.,dige Behörde des Bestimmungsmitgliedstaats die Kommission und die zuständigen Behörden der übrigen Mitgliedstaaten hierüber.,law
(81) It should be noted that one producer included in the definition of the Community industry was newly founded in 1998 and that no profitability data were available for 1997.,"(81) Eines der Unternehmen, das zum Wirtschaftszweig der Gemeinschaft gehört, wurde erst 1998 gegründet, so dass keine Rentabilitätsdaten für das Jahr 1997 vorlagen.",law
Common Position 2005/427/CFSP is hereby repealed.,Der Gemeinsame Standpunkt 2005/427/GASP wird aufgehoben.,law
"- during a transitional period of ten years, only in respect of those debt securities admitted to trading on a regulated market prior to 1 January 2005 which may be purchased by professional investors only.","- während eines Übergangszeitraums von zehn Jahren, jedoch nur in Bezug auf Schuldtitel, die vor dem 1. Januar 2005 zum Handel an einem geregelten Markt zugelassen waren und nur von professionellen Anlegern erworben werden können.",law
"1. Any failure by a staff member or former staff member to comply with his obligations under the Staff Regulations, whether intentionally or through negligence on his part, shall make him liable to simple, financial or statutory disciplinary action, notwithstanding the compensation he may be required to make by virtue of Article 2(4) and Article 27 of these Regulations.","(1) Gegen Bedienstete und ehemalige Bedienstete, die vorsätzlich oder fahrlässig die ihnen durch das Statut auferlegten Pflichten verletzen, können unbeschadet des gemäß Artikel 2 Absatz 4 und Artikel 27 dieses Statuts zu leistenden Schadenersatzes einfache, finanzielle oder dienstrechtliche Disziplinarstrafen verhängt werden.",law
"- under the circumstances laid down in Article 10 (6) of the Basic Regulation, the VAT registration number.",- unter den in Artikel 10 Absatz 6 der Grundverordnung genannten Bedingungen die Mehrwertsteuer-Kennummer.,law
4. Insufficient due cause or economic justification (non-cooperating Argentinian exporters),4. Fehlen einer hinreichenden Begründung oder wirtschaftlichen Rechtfertigung (nicht kooperierende argentinische Ausführer),law
"(b) sufficient freely disposable capacity of the exporter or an imminent and substantial increase in such capacity indicating the likelihood of substantially increased dumped exports to the Community, account being taken of the availability of other export markets to absorb any additional exports;","b) genügend frei verfügbare Kapazitäten beim Ausführer oder eine unmittelbar bevorstehende, erhebliche Ausweitung seiner Kapazitäten als Indiz für einen voraussichtlichen erheblichen Anstieg der gedumpten Ausfuhren in die Gemeinschaft, wobei zu berücksichtigen ist, in welchem Maße andere Ausfuhrmärkte zusätzliche Ausfuhren aufnehmen können;",law
"Having regard to Council Decision 90/424/EEC of 26 June 1990 on expenditure in the veterinary field (1), as last amended by Decision 93/439/EEC (2), and in particular Article 24 (1) thereof,","gestützt auf die Entscheidung 90/424/EWG des Rates vom 26. Juni 1990 über bestimmte Ausgaben im Veterinärbereich (1), zuletzt geändert durch die Entscheidung 93/439/EWG der Kommission (2), insbesondere auf Artikel 24 Absatz 1, in Erwägung nachstehender Gründe:",law
1. Temporary staff are employees who do not occupy budgeted posts defined in the Centre's establishment table.,"(1) Das Zeitpersonal besteht aus Beschäftigten, die keine im Stellenplan des Zentrums ausgewiesene Planstelle besetzen.",law
"Having regard to European Parliament and Council Directive 94/62/EC of 20 December 1994 on packaging and packaging waste (1), and in particular Article 8 (2) thereof,","gestützt auf die Richtlinie 94/62/EG des Europäischen Parlaments und des Rates vom 20. Dezember 1994 über Verpackungen und Verpackungsabfälle (1), insbesondere auf Artikel 8 Absatz 2,",law
"carried on simultaneously both the activities covered by this Directive and those covered by Directive 73/239/EEC may continue to carry on those activities simultaneously, provided that each activity is separately managed in accordance with Article 19 of this Directive.","zugelassen waren und die unter die vorliegende Richtlinie und die Richtlinie 73/239/EWG fallenden Tätigkeiten zugleich ausübten, diese Tätigkeiten auch weiterhin zugleich ausüben, sofern sie gemäß Artikel 19 der vorliegenden Richtlinie für jede dieser Tätigkeiten eine getrennte Verwaltung einrichten.",law
(8) Close cooperation should be maintained between the Group and the Communications Committee established under the Framework Directive.,(8) Die Gruppe sollte eine enge Zusammenarbeit mit dem durch die Rahmenrichtlinie eingesetzten Kommunikationsausschuss pflegen.,law
Relations of consignor and consignee or mutual relations of third parties,Rechtsverhältnisse zwischen Absender und Empfänger oder Dritten,law
Country _BAR_ Manufacturer _BAR_ Rate of duty (EUR/t) _BAR_ TARIC additional code _BAR_,Land _BAR_ Hersteller _BAR_ Zoll (EUR/t) _BAR_ TARIC-Zusatzcode _BAR_,law
"However, where the products are placed under the arrangements referred to in Article 5 of Council Regulation (EEC) No 565/80 (*) the certificate referred to in the previous subparagraph must be presented to the customs authorities at the time of completion of the customs formalities referred to in Article 25 (2) of Commission Regulation (EEC) No 3665/87 (**).","Werden die Erzeugnisse den Zollverfahren des Artikels 5 der Verordnung (EWG) Nr. 565/80 des Rates (*) unterstellt, so ist die im vorstehenden Unterabsatz genannte Bescheinigung den Zollbehörden bei der Erfuellung der Zollförmlichkeiten nach Artikel 25 Absatz 2 der Verordnung (EWG) Nr. 3665/87 der Kommission (**) vorzulegen.",law
"(b) the average quantity of each mineral substance and each vitamin mentioned in the Annex present in the product, expressed in numerical form per 100 g or per 100 ml of the product as sold and where appropriate per 100 g or per 100 ml of the product ready for use in accordance with the manufacturer's instructions.",b) die durchschnittliche Menge sämtlicher in dem Erzeugnis enthaltener und im Anhang aufgeführter Mineralstoffe und Vitamine als Zahlenangabe pro 100 g oder pro 100 ml des Erzeugnisses bei Verkauf und gegebenenfalls pro 100 g oder pro 100 ml des gemäß den Anweisungen des Herstellers gebrauchsfertig zubereiteten Erzeugnisses.,law
2. Financial participation by the Community shall be at the rate of 50 % of the costs incurred in France by way of compensation for owners for the slaughter of animals up to a maximum of EUR 500000.,"(2) Die finanzielle Beteiligung der Gemeinschaft beträgt 50 % der Kosten, die Frankreich für die Entschädigung der Bestandseigentümer für die Tötung der Tiere entstehen, höchstens jedoch 500000 EUR.",law
"- the quantity of processed or packaged agricultural products or of foodstuffs which may be obtained by the use of products from intervention stocks, supplied in payment for such products,","- oder die Menge an verarbeiteten landwirtschaftlichen Erzeugnissen, Nahrungsmitteln oder gegebenenfalls verpackten oder abgefuellten Erzeugnissen, die gegen Zahlung in Form von Interventionserzeugnissen durch Verwendung solcher Erzeugnisse erhalten werden kann,",law
"Having regard to Council Regulation (EEC) No 2081/92 of 14 July 1992 on the protection of geographical indications and designations of origin for agricultural products and foodstuffs(1), as last amended by Commission Regulation (EC) No 692/2003(2), and in particular Article 6(3) and (4),","gestützt auf die Verordnung (EWG) Nr. 2081/92 des Rates vom 14. Juli 1992 zum Schutz von geografischen Angaben und Ursprungsbezeichnungen für Agrarerzeugnisse und Lebensmittel(1), zuletzt geändert durch die Verordnung (EG) Nr. 692/2003(2), insbesondere auf Artikel 6 Absätze 3 und 4;",law
"(16) The Agreement on the European Economic Area (EEA Agreement) provides for greater cooperation in the field of education, training and youth between the European Community and its Member States, on the one hand, and the countries of the European Free Trade Association participating in the European Economic Area (EEA-EFTA States), on the other; the conditions and the detailed rules for the participation of the above countries in this programme should be established in accordance with the relevant provisions of the EEA Agreement.",(16) Das Abkommen über den Europäischen Wirtschaftsraum (EWR-Abkommen) sieht eine erweiterte Zusammenarbeit zwischen der Gemeinschaft und ihren Mitgliedstaaten einerseits und den am Europäischen Wirtschaftsraum teilnehmenden Ländern der Europäischen Freihandelsassoziation (EWR-EFTA-Staaten) andererseits in den Bereichen allgemeine und berufliche Bildung sowie Jugend vor; die Bedingungen und Einzelheiten für die Teilnahme der genannten Länder an diesem Programm sollten gemäß den einschlägigen Bestimmungen des EWR-Abkommens festgelegt werden.,law
2. The operative event for the agricultural conversion rate applicable to the aid for programmes of initiatives referred to in Article 11 of Regulation (EEC) No 1600/92 shall be 1 January of the year of execution in progress of the programme of initiatives.,"(2) Der maßgebliche Tatbestand für den landwirtschaftlichen Umrechnungskurs für die Beihilfe für die Maßnahmenprogramme gemäß Artikel 11 der Verordnung (EWG) Nr. 1600/92 ist der 1. Januar des Jahres, in dem das Maßnahmenprogramm durchgeführt wird.",law
"(62) It is considered that this argument is irrelevant since paragraph 2 of Annex II(II) of the ASCM relates to a duty drawback scheme which, as explained above, the programme under consideration is not.","(62) Dieses Argument wird als irrelevant angesehen, da sich Anhang II Abschnitt II Nummer 2 des ÜSAM auf Zollrückerstattungsregelungen bezieht, zu denen die fragliche Regelung, wie oben dargelegt, nicht zählt.",law
"Measures in relation to semen, ova and embryos collected from animals of susceptible species in the protection zone","Maßnahmen für Sperma, Eizellen und Embryos von Tieren empfänglicher Arten in der Schutzzone",law
Import charges and indirect taxes,Einfuhrabgaben und indirekte Steuern,law
General provisions for farmers in a special situation,Allgemeine Bestimmungen für Betriebsinhaber in besonderer Lage,law
"They must be accompanied by the import licence, the certificate referred to in paragraph 2 and the declaration of entry for free circulation of the cereals in question.`","Den Erstattungsanträgen ist die Einfuhrlizenz, die Bescheinigung gemäß Absatz 2 und die Anmeldung zur Überführung zum zollrechtlich freien Verkehr für die betreffende Einfuhr beizufügen.""",law
"- Council Directive 66/403/EEC of 14 June 1966 on the marketing of seed potatoes (7),","- Richtlinie 66/403/EWG des Rates vom 14. Juni 1966 über den Verkehr mit Pflanzkartoffeln (7),",law
According to the Commission's consistent practice these two producers should be excluded from the Community industry.,Gemäß dem üblichen Vorgehen der Kommission müßten diese beiden Hersteller daher aus dem Wirtschaftszweig der Gemeinschaft ausgeschlossen werden.,law
"However, no definitive conclusions have as yet been reached in either case and it is not possible at this stage to take account of their potential impact on the market.",Indessen wurden noch keine endgültigen Schlussfolgerungen zum weiteren Fortgang getroffen. Dies ist zu diesem Zeitpunkt unter Berücksichtigung der möglichen Auswirkungen auf den Markt auch nicht möglich.,law
"- 'Abkommen`,","- ""Abkommen"",",law
"Without prejudice to the provisions of this Regulation, in carrying out its tasks the managing authority shall act in full compliance with the institutional, legal and financial systems of the Member State concerned.","Unbeschadet dieser Verordnung handelt die Verwaltungsbehörde bei der Erfuellung ihrer Aufgaben in vollem Einklang mit dem institutionellen, rechtlichen und finanziellen System des betreffenden Mitgliedstaats.",law
"However, for animals in transit or being transhipped, whose final destination is outside the Community, the original veterinary document accompanying the animals on arrival shall travel onwards with them and copies only shall be kept at the border inspection post.","Im Falle von Tieren, die zur Durchfuhr oder Umladung bestimmt sind und deren Endbestimmung außerhalb der Gemeinschaft liegt, begleitet das Original des Veterinärdokuments, das der Sendung bei der Ankunft beilag, die Sendung jedoch weiterhin; an der Grenzkontrollstelle werden ausschließlich Abschriften verwahrt.",law
"Where necessary, paragraph 4 shall apply. By not later than 31 March each year, Member States shall forward to the Commission the results of their residue and substance detection plans and of their control measures.",Erforderlichenfalls gelten die Bestimmungen des Absatzes 4. Sie teilen der Kommission jährlich spätestens bis zum 31. März die Ergebnisse des Plans zur Ermittlung von Rückständen und Stoffen und die getroffenen Kontrollmaßnahmen mit.,law
"(c) contribute, where requested, to the implementation of peace and cease fire agreements reached between the parties and engage with them diplomatically in the event of non-compliance with the terms of these agreements;","c) soweit darum ersucht wird, zur Umsetzung der zwischen den Parteien ausgehandelten Friedens- und Waffenstillstandsvereinbarungen beizutragen und zwischen diesen Parteien auf diplomatischer Ebene tätig zu werden, wenn diese Vereinbarungen nicht eingehalten werden;",law
(c) the proper fulfilment of commitments entered into at the time of any previous allocation.,c) die ordnungsgemässe Erfuellung der bei etwaigen früheren Zuteilungen von Berechtigungsscheinen eingegangenen Verpflichtungen.,law
"The costs of the management of Finnish spent fuel is estimated by the Finnish company in charge of the disposal at EUR 325/kgU (GBP 217/kgU [48]), of which EUR 217/kgU (GBP 145/kgU) are related to avoidable costs [49].","Die Kosten der Entsorgung abgebrannter Brennelemente in Finnland werden von dem finnischen Entsorgungsunternehmen mit 325 EUR/kgU [48]) angesetzt, wovon 217 EUR/kgU auf vermeidbare Kosten entfallen [49].",law
Part II of that list contains the third countries which are not yet covered by a specific decision but which satisfy the requirements of Article 2(2) of Council Decision 95/408/EC(4).,"In Teil II dieser Liste sind die Drittländer aufgeführt, für die bisher keine spezifische Entscheidung erlassen wurde, die jedoch die Anforderungen gemäß Artikel 2 Absatz 2 der Entscheidung 95/408/EG(4) des Rates erfuellen.",law
"- at least every five years,",- mindestens alle fünf Jahre;,law
